991.70,-19.53,62.50,-17.35,86.39
1011.23,-28.32,62.99,-24.21,86.44
1003.91,-13.67,67.38,-11.47,86.16
1010.74,-19.53,64.45,-16.86,86.35
989.75,-24.41,56.15,-23.50,86.75
1000.98,-19.53,66.41,-16.39,86.20
996.58,-17.58,71.29,-13.85,85.91
1013.18,-20.51,62.99,-18.03,86.44
1000.00,-19.04,60.55,-17.46,86.54
999.51,-9.28,66.89,-7.90,86.17
1003.42,-9.77,62.01,-8.95,86.46
999.51,-13.67,67.87,-11.39,86.12
995.12,-23.93,65.92,-19.95,86.21
1003.42,-22.46,60.55,-20.35,86.55
1006.84,-13.18,71.78,-10.41,85.92
997.56,-21.97,68.36,-17.82,86.08
1009.28,-19.53,69.34,-15.73,86.07
1001.46,-20.51,59.57,-19.00,86.60
991.70,-21.48,53.22,-21.98,86.93
1013.67,-22.46,58.59,-20.97,86.69
1005.86,-20.51,57.13,-19.75,86.75
1013.67,-24.41,70.31,-19.15,86.03
998.54,-33.20,56.64,-30.38,86.75
1011.23,-14.16,62.50,-12.77,86.46
988.28,-19.04,55.66,-18.89,86.78
1014.16,-10.74,61.52,-9.90,86.53
1010.25,-5.86,74.71,-4.48,85.77
1004.88,-10.74,65.92,-9.26,86.25
1000.00,-21.00,61.04,-18.98,86.51
1002.93,-30.76,57.62,-28.10,86.71
1000.00,-9.28,56.15,-9.38,86.79
1007.32,-20.51,55.66,-20.22,86.84
985.35,-29.79,74.71,-21.74,85.66
999.51,-16.11,55.18,-16.28,86.84
1005.86,-23.93,66.89,-19.68,86.20
996.58,-21.97,62.01,-19.51,86.44
1006.84,-15.63,69.34,-12.70,86.06
1010.25,-22.95,66.89,-18.94,86.21
1006.35,-27.34,73.73,-20.35,85.81
988.77,-18.55,78.12,-13.36,85.48
1001.95,-25.39,65.43,-21.21,86.26
1010.25,-23.44,57.13,-22.31,86.76
1001.95,-30.76,62.01,-26.38,86.46
1006.84,-26.86,66.41,-22.02,86.23
1010.25,-13.18,60.06,-12.38,86.60
1005.37,-15.63,66.89,-13.15,86.19
1018.07,-26.37,59.57,-23.88,86.65
1005.37,-10.25,62.50,-9.32,86.44
1006.35,-13.18,53.22,-13.91,86.97
1003.42,-17.09,64.45,-14.85,86.32
1002.44,-27.34,54.20,-26.77,86.91
1007.32,-14.65,65.43,-12.62,86.28
